0001,Zhejiang University (First-Class University),001,Humanities Experimental Class ,70,668,3821
0001,Zhejiang University (First-Class University),002,Humanities Experimental Class (Media) ,72,669,3557
0001,Zhejiang University (First-Class University),004,Humanities Experimental Class (Foreign Language and Literature) ,43,671,3125
0001,Zhejiang University (First-Class University),005,Social science experiment class ,203,674,2407
0001,Zhejiang University (First-Class University),006,"Social Science Experimental Class (Qi Kejun College Humanities and Social Sciences Experimental Class, Smart Finance Class) ",3,697,255
0001,Zhejiang University (First-Class University),007,Science test class (including top talent training) ,86,675,2302
0001,Zhejiang University (First-Class University),008,"Science test class (life, environment, chemistry and geology with top-notch talent training) ",131,666,4313
0001,Zhejiang University (First-Class University),009,"Engineering test class (energy, chemical and polymer, including excellent personnel training classes) ",229,666,4211
0001,Zhejiang University (First-Class University),010,"Engineering test class (mechanical and materials, including excellent personnel training classes) ",160,671,3031
0001,Zhejiang University (First-Class University),011,"Engineering test class (construction and civil engineering, including excellent personnel training classes) ",175,667,3842
0001,Zhejiang University (First-Class University),012,"Engineering Test Class (Electrical and Automation, including excellent personnel training classes) ",95,676,2129
0001,Zhejiang University (First-Class University),013,"Engineering test class (aerospace and process equipment, including excellent personnel training classes) ",46,667,4106
0001,Zhejiang University (First-Class University),014,Engineering test class (information) ,233,679,1630
0001,Zhejiang University (First-Class University),015,Engineering Experimental Class (Chu Kejun College Cross Innovation Platform) ,5,695,305
0001,Zhejiang University (First-Class University),016,Robot Engineering (竺可桢学院) ,3,693,381
0001,Zhejiang University (First-Class University),017,"Engineering Test Class (Tuling School, Turing Class) ",3,695,327
0001,Zhejiang University (First-Class University),018,Medical test class ,14,689,627
0001,Zhejiang University (First-Class University),019,Science and Creative Design Experimental Class ,27,675,2198
0002,China Art Academy (First-Class Discipline College),013,industrial design ,35,628,22922
0003,Zhejiang University of Technology (Provincial Plan of 2011) (Provincial Key University),001,Hiking Academy Experimental Class ,45,645,12441
0003,Zhejiang University of Technology (Provincial Plan of 2011) (Provincial Key University),002,Chemical and biological ,456,614,34285
0003,Zhejiang University of Technology (Provincial Plan of 2011) (Provincial Key University),003,"Pharmacy (""2011 Plan"" Innovation Experimental Zone) ",160,627,23836
0003,Zhejiang University of Technology (Provincial Plan of 2011) (Provincial Key University),004,Mechanical and industrial engineering ,200,617,31863
0003,Zhejiang University of Technology (Provincial Plan of 2011) (Provincial Key University),005,"Economics, Law and Management ",374,626,24489
0003,Zhejiang University of Technology (Provincial Plan of 2011) (Provincial Key University),006,Electrical communication and computer ,460,625,25193
0003,Zhejiang University of Technology (Provincial Plan of 2011) (Provincial Key University),007,Construction ,76,630,21645
0003,Zhejiang University of Technology (Provincial Plan of 2011) (Provincial Key University),008,Civil engineering ,83,619,29879
0003,Zhejiang University of Technology (Provincial Plan of 2011) (Provincial Key University),009,industrial design ,30,632,19844
0003,Zhejiang University of Technology (Provincial Plan of 2011) (Provincial Key University),010,News Communication and Chinese Language and Literature ,105,627,23643
0003,Zhejiang University of Technology (Provincial Plan of 2011) (Provincial Key University),011,Foreign language and literature ,123,623,26773
0003,Zhejiang University of Technology (Provincial Plan of 2011) (Provincial Key University),012,Science and optoelectronic information ,121,623,26351
0003,Zhejiang University of Technology (Provincial Plan of 2011) (Provincial Key University),013,Software Engineering (Chinese-foreign cooperative education) ,100,611,37164
